ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,"Hypertension,Diabetes", Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,"Chronic kidney/renal disease,Other",Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),"Headache,Sputum (/Expectoration)",Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia, Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
75.0,USA,Nationwide,7,Positive only,,71.40%,,,,,,14.28%,,,14.28%,0%,,,,85.27%,,85.71%,14.28%,,,28.57%,,14.28%,,,,,,,0%,0
77.0,China,Wuhan,109,Positive only,,54.10%,0%,0%,100%,0%,0%,,,,3.70%,,,5.50%,,82.60%,,61.50%,,,,56.90%,,11%,,,,,,,0%,0.28
77.0,China,Wuhan,56,Positive only,,55.40%,0%,0%,100%,0%,0%,,,,3.60%,,,0.00%,,85.70%,,64.30%,,,,46.40%,,10.70%,,,,,,,0%,0.09
77.0,China,Wuhan,53,Positive only,,52.80%,0%,0%,100%,0%,0%,,,,3.80%,,,11.30%,,79.20%,,58.50%,,,,67.90%,,11.30%,,,,,,,0%,0.49
78.0,China,Nanjing,24,Positive only,,33.30%,0%,0%,100%,0%,0%,4.20%,,,0%,0%,,4.20%,,20.80%,,8.30%,,,,8.30%,4.20%,,,,,,,,,0
78.0,China,Nanjing,5,Positive only,,0%,0%,0%,100%,0%,0%,0%,,,0%,0%,,0%,,100%,,40%,,,,40%,20%,,,,,,,,,0
78.0,China,Nanjing,19,Positive only,,42.10%,0%,0%,100%,0%,0%,5.30%,,,0%,0%,,5.30%,,0%,,0%,,,,0%,0%,,,,,,,,,0
80.0,China,Chongqing,51,Positive only,,62.70%,0%,0%,100%,0%,0%,,,,,,,,,84.30%,,74.50%,21.60%,,11.80%,43.10%,,7.80%,5.90%,,,,,,,0.02
80.0,China,Chongqing,44,Positive only,,63.70%,0%,0%,100%,0%,0%,,,,,,,,,84.10%,,72.70%,11.40%,,11.40%,36.40%,,9.10%,6.80%,,,,,,,0
80.0,China,Chongqing,7,Positive only,,57.10%,0%,0%,100%,0%,0%,,,,,,,,,85.70%,,85.70%,85.70%,,14.30%,85.70%,,0%,0%,,,,,,,0.14
81.0,China,Wuhan,110,Positive only,,43.63%,0%,0%,100%,0%,0%,23.63%,,,5.46%,,,6.36%,,81.82%,,61.82%,32.73%,,,37.28%,,,,,,,,,0%,0
81.0,China,Wuhan,38,Positive only,,63.16%,0%,0%,100%,0%,0%,23.68%,,,10.53%,,,7.89%,,86.84%,,55.26%,39.47%,,,26.32%,,,,,,,,,0%,0
81.0,China,Wuhan,72,Positive only,,33.33%,0%,0%,100%,0%,0%,23.61%,,,2.78%,,,5.56%,,79.17%,,65.28%,29.17%,,,43.06%,,,,,,,,,0%,0
82.0,China,Chongqing,46,Positive only,,52.20%,0%,0%,100%,0%,0%,10.90%,,,,,,,,69.10%,,81%,2.40%,,7.10%,19.10%,7.10%,4.80%,2.40%,9.50%,,,7.10%,,8.70%,0
82.0,China,Chongqing,14,Positive only,,50%,0%,0%,100%,0%,0%,7.10%,,,,,,,,58.30%,,91.70%,0%,,8.30%,16.70%,16.70%,16.70%,0%,0%,,,8.30%,,14.30%,0
82.0,China,Chongqing,32,Positive only,,53.10%,0%,0%,100%,0%,0%,12.50%,,,,,,,,73.30%,,76.70%,6.70%,,6.70%,20%,3.30%,0%,3.30%,13.30%,,,6.70%,,6.30%,0
83.0,China,,64,Positive only,,36%,0%,0%,100%,0%,0%,2%,,,,,,,,67%,,47%,16%,,22%,34%,,5%,,6%,,5%,3%,,,0
83.0,China,,37,Positive only,,46%,0%,0%,100%,0%,0%,3%,,,,,,,,68%,,46%,19%,,22%,38%,,3%,,5%,,3%,5%,,,0
83.0,China,,25,Positive only,,24%,0%,0%,100%,0%,0%,0%,,,,,,,,68%,,52%,12%,,20%,24%,,8%,,8%,,8%,0%,,,0
84.0,China,Wuhan,48,Positive only,39.08,27.10%,0%,0%,100%,0%,0%,,,,,,,,,58.30%,,33.30%,2.10%,,10.40%,12.50%,,8.30%,,4.20%,,,,,,0
84.0,China,Wuhan,42,Positive only,36.93,23.80%,0%,0%,100%,0%,0%,,,,,,,,,52.40%,,31%,2.40%,,11.90%,11.90%,,9.50%,,4.80%,,,,,,0
84.0,China,Wuhan,6,Positive only,54.0,50%,0%,0%,100%,0%,0%,,,,,,,,,100%,,50%,0%,,0%,16.70%,,0%,,0%,,,,,,0
85.0,China,Wuhan,104,Positive only,43.0,47.12%,0%,0%,100%,0%,0%,3.85%,,,0.96%,,,,,63.46%,,75.96%,14.42%,,19.23%,31.73%,,1.92%,,,,,,,,0.01
85.0,China,Wuhan,48,Positive only,40.0,45.83%,0%,0%,100%,0%,0%,2.08%,,,0%,,,,,75%,,75%,18.75%,,27.08%,33.33%,,0%,,,,,,,,0
85.0,China,Wuhan,56,Positive only,44.0,48.21%,0%,0%,100%,0%,0%,5.36%,,,1.79%,,,,,53.57%,,76.79%,10.71%,,12.50%,30.36%,,3.57%,,,,,,,,0.02
86.0,Scotland,,1,Positive only,51.0,100%,100%,0%,0%,0%,0%,0%,,,0%,0%,0%,0%,,100%,,100%,0%,,100%,100%,,0%,0%,0%,,0%,,,0%,0
87.0,UK,England,2,Positive only,36.5,50%,100%,0%,0%,0%,0%,,,,0%,0%,,,,50%,,50%,0%,,50%,0%,0%,0%,0%,0%,,0%,,,0%,0
87.0,UK,England,1,Positive only,50.0,0%,100%,0%,0%,0%,0%,,,,0%,0%,,,,100%,,100%,0%,,0%,0%,0%,0%,0%,0%,,0%,,,0%,0
87.0,UK,England,1,Positive only,23.0,100%,100%,0%,0%,0%,0%,,,,0%,0%,,,,0%,,0%,0%,,100%,0%,0%,0%,0%,0%,,0%,,,0%,0
88.0,USA,Illinois,2,Positive only,,50%,,,,,,,,,50%,,,,,100%,,100%,,,,100%,,,100%,,,,50%,,,0
88.0,USA,Illinois,1,Positive only,,0%,,,,,,,,,0%,,,,,100%,,100%,,,,100%,,,100%,,,,100%,,,0
88.0,USA,Illinois,1,Positive only,,100%,,,,,,,,,100%,,,,,100%,,100%,,,,100%,,,100%,,,,0%,,,0
90.0,Australia,Nationwide,295,Positive only,47.0,50%,,,,,,,,,,,,,,36.60%,,28.50%,18.60%,,7.50%,,,16.30%,11.50%,,,,3.10%,,,0.01
91.0,China,Zhejiang,651,Positive only,45.20935484,50.84%,0%,0%,100%,0%,0%,6.32%,,,0.15%,0.92%,3.84%,,,83.72%,,66.82%,4.15%,,,18.28%,,44.32%,44.32%,,,,,,,0
91.0,China,Zhejiang,74,Positive only,46.14,50%,0%,0%,100%,0%,0%,4.23%,,,0%,0%,11%,,,85.14%,,71.62%,10.81%,,,31.08%,,0%,0%,,,,,,,0
91.0,China,Zhejiang,577,Positive only,45.09,50.95%,0%,0%,100%,0%,0%,6.59%,,,0.17%,1.04%,2.95%,,,83.54%,,66.20%,3.30%,,,16.64%,,50%,50%,,,,,,,0
92.0,China,Hunan,10,Positive only,,80%,0%,0%,100%,0%,0%,,,,,,,,,90%,,60%,60%,,,10%,,30%,10%,,,,10%,,,0.1
93.0,China,Shenzhen,5,Positive only,59.0,60%,0%,0%,100%,0%,0%,0%,,,0%,0%,0%,0%,,100%,,,,,,,,,,,,,,,,0
93.0,China,Shenzhen,1,Positive only,75.0,100%,0%,0%,100%,0%,0%,0%,,,0%,0%,0%,0%,,100%,,,,,,,,,,,,,,,,0
93.0,China,Shenzhen,1,Positive only,65.0,100.00%,0%,0%,100%,0%,0%,0%,,,0%,0%,0%,0%,,100.00%,,,,,,,,,,,,,,,,0
93.0,China,Shenzhen,1,Positive only,55.0,0.00%,0%,0%,100%,0%,0%,0%,,,0%,0%,0%,0%,,100.00%,,,,,,,,,,,,,,,,0
93.0,China,Shenzhen,1,Positive only,35.0,0.00%,0%,0%,100%,0%,0%,0%,,,0%,0%,0%,0%,,100.00%,,,,,,,,,,,,,,,,0
93.0,China,Shenzhen,1,Positive only,65.0,100.00%,0%,0%,100%,0%,0%,0%,,,0%,0%,0%,0%,,100.00%,,,,,,,,,,,,,,,,0
94.0,Netherlands,Nationwide,86,Positive only,,17.40%,100%,0%,0%,0%,0%,,,,,,,,,53.50%,,75.60%,38.40%,,64%,,,18.60%,17.40%,17.40%,,,,,,0
94.0,Netherlands,Nationwide,32,Positive only,,18.80%,100%,0%,0%,0%,0%,,,,,,,,,62.50%,,65.60%,18.80%,,65.60%,,,15.60%,3.10%,3.10%,,,,,,0
94.0,Netherlands,Nationwide,54,Positive only,,16.70%,100%,0%,0%,0%,0%,,,,,,,,,48.10%,,81.50%,42.60%,,81.50%,,,20.40%,25.90%,25.90%,,,,,,0
98.0,China,Sichuan,81,Positive only,,63%,0%,0%,100%,0%,0%,3.70%,,,13.60%,0%,,6.20%,,48.20%,,49.40%,30.90%,,,37%,,,,,,,,,,0.12
98.0,China,Sichuan,53,Positive only,,64.10%,0%,0%,100%,0%,0%,1.90%,,,9.40%,0%,,3.80%,,47.20%,,54.70%,32.10%,,,37.70%,,,,,,,,,,0
98.0,China,Sichuan,10,Positive only,,40%,0%,0%,100%,0%,0%,10%,,,30%,0%,,30%,,50%,,30%,30%,,,20%,,,,,,,,,,1
98.0,China,Sichuan,18,Positive only,,72.20%,0%,0%,100%,0%,0%,5.60%,,,16.70%,0%,,0%,,50%,,61.10%,27.80%,,,44.40%,,,,,,,,,,0
99.0,China,Shenzhen,391,Positive only,,47.80%,0%,0%,100%,0%,0%,,,,,,,,,84.40%,,39.10%,3.10%,,19.40%,13.60%,,0.80%,1%,,,5.60%,3.30%,,6.40%,0.01
100.0,China,Wuhan,120,Positive only,,45%,0%,0%,100%,0%,0%,10%,,,1.60%,5.80%,,,,,,,,,,,,,,,,,,,0%,0
100.0,China,Wuhan,78,Positive only,,44.90%,0%,0%,100%,0%,0%,10.30%,,,1.30%,5.10%,,,,,,,,,,,,,,,,,,,0%,0
100.0,China,Wuhan,42,Positive only,,45.20%,0%,0%,100%,0%,0%,9.50%,,,2.40%,7.10%,,,,,,,,,,,,,,,,,,,0%,0
101.0,France,Marseille,80,Positive only,52.5,52.50%,100%,0%,0%,0%,0%,,,,10%,6.30%,,,,15%,,58.80%,,,,,,,,,,,,,5%,0.01
102.0,China,Wuhan,236,Positive only,51.52542373,46.61%,0%,0%,100%,0%,0%,,,,,,,,,52.96%,,56.78%,5.51%,,2.12%,28.39%,,15.68%,,,,,,,0%,0
102.0,China,Wuhan,116,Positive only,50.0,50.86%,0%,0%,100%,0%,0%,,,,,,,,,55.17%,,60.34%,7.76%,,1.72%,34.48%,,18.97%,,,,,,,0%,0
102.0,China,Wuhan,120,Positive only,53.0,42.50%,0%,0%,100%,0%,0%,,,,,,,,,50.83%,,53.33%,3.33%,,2.50%,22.50%,,12.50%,,,,,,,0%,0
104.0,China,Wuhan,52,Positive only,,67%,0%,0%,100%,0%,0%,4%,,,8%,4%,29%,14%,,98%,,77%,63.50%,,11.50%,,,,4%,,,,2%,,,0.62
104.0,China,Wuhan,20,Positive only,,70%,0%,0%,100%,0%,0%,10%,,,10%,5%,30%,0%,,100%,,75%,60%,,10%,,,,5%,,,,5%,,,0
104.0,China,Wuhan,32,Positive only,,66%,0%,0%,100%,0%,0%,0%,,,6%,3%,28.00%,22.00%,,97%,,78%,66%,,12.50%,,,,3%,,,,0%,,,1
106.0,China,Wuhan,155,Positive only,,55.50%,0%,0%,100%,0%,0%,3.90%,,,3.20%,4.50%,4.50%,4.50%,,81.30%,,62.60%,32.30%,,61.00%,73.20%,,4.50%,3.70%,,,,3.70%,,,0.14
107.0,China,Wuhan,83,Positive only,,71%,0%,0%,100%,0%,0%,,,,0%,,,,,40%,,22%,0.084,,0.036,0.072,,4%,4%,,,,10%,,,0.48
108.0,China,Wuhan,2,Positive only,60.0,50%,0%,0%,100%,0%,0%,0%,,,0%,0%,,,,100%,0%,50%,,,,,,0%,0%,,,,0%,,,0
108.0,China,Wuhan,1,Positive only,45.0,100.00%,0%,0%,100%,0%,0%,0,,,0,0,,,,1,0,0,,,,,,0,0,,,,0,,,0
108.0,China,Wuhan,1,Positive only,75.0,0%,0%,0%,100%,0%,0%,0%,,,0%,0%,,,,100%,0%,100%,,,,,,0%,0%,,,,0%,,,0
110.0,China,Wuhan,323,Positive only,,51.40%,0%,0%,100%,0%,0%,11.80%,,,1.90%,1.50%,1.50%,12.70%,,83.90%,,50.80%,4.30%,,,,,,0.30%,,,0.30%,0.90%,,,0.11
112.0,China,Wuhan,416,Positive only,,49.30%,0%,0%,100%,0%,0%,,,,2.90%,2.20%,1.00%,5.30%,,80.30%,,34.60%,28.10%,,4.60%,13.20%,,3.80%,,,,,3.40%,,,0.14
112.0,China,Wuhan,82,Positive only,,53.70%,0%,0%,100%,0%,0%,,,,7.30%,8.50%,2.40%,15.90%,,76.80%,,34.10%,31.70%,,6.10%,18.30%,,1.20%,,,,,13.40%,,,0.51
112.0,China,Wuhan,334,Positive only,,48.20%,0%,0%,100%,0%,0%,,,,1.80%,0.60%,0.60%,2.70%,,81.10%,,34.70%,27.20%,,4.20%,12.00%,,4.50%,,,,,0.90%,,,0.05
114.0,China,Guangzhou,10,Positive only,7.543,60.00%,0%,0%,100%,0%,0%,0%,,,,,,,,70.00%,,50.00%,,,,,,30.00%,,,,,,,,0
114.0,China,Guangzhou,1,Positive only,6.17,100%,0%,0%,100%,0%,0%,0.00%,,,,,,,,100.00%,,100.00%,,,,,,100.00%,,,,,,,,0
114.0,China,Guangzhou,1,Positive only,12.58,0%,0%,0%,100%,0%,0%,0.00%,,,,,,,,100.00%,,0.00%,,,,,,0.00%,,,,,,,,0
114.0,China,Guangzhou,1,Positive only,7.08,0%,0%,0%,100%,0%,0%,0.00%,,,,,,,,100.00%,,100.00%,,,,,,100.00%,,,,,,,,0
114.0,China,Guangzhou,1,Positive only,13.75,100%,0%,0%,100%,0%,0%,0.00%,,,,,,,,0.00%,,0.00%,,,,,,0.00%,,,,,,,,0
114.0,China,Guangzhou,1,Positive only,1.17,100%,0%,0%,100%,0%,0%,0.00%,,,,,,,,100.00%,,0.00%,,,,,,0.00%,,,,,,,,0
114.0,China,Guangzhou,1,Positive only,3.42,100%,0%,0%,100%,0%,0%,0.00%,,,,,,,,0.00%,,0.00%,,,,,,0.00%,,,,,,,,0
114.0,China,Guangzhou,1,Positive only,15.67,0%,0%,0%,100%,0%,0%,0.00%,,,,,,,,100.00%,,0.00%,,,,,,0.00%,,,,,,,,0
114.0,China,Guangzhou,1,Positive only,13.67,100%,0%,0%,100%,0%,0%,0.00%,,,,,,,,100.00%,,100.00%,,,,,,0.00%,,,,,,,,0
114.0,China,Guangzhou,1,Positive only,0.17,0%,0%,0%,100%,0%,0%,0.00%,,,,,,,,0.00%,,100.00%,,,,,,0.00%,,,,,,,,0
114.0,China,Guangzhou,1,Positive only,1.75,100%,0%,0%,100%,0%,0%,0.00%,,,,,,,,100.00%,,100.00%,,,,,,100.00%,,,,,,,,0
115.0,China,Hainan,18,Positive only,,66.67%,0%,0%,100%,0%,0%,44.44%,,,,,5.56%,,,77.78%,,33.33%,11.11%,,,11.11%,,,16.67%,,,,,,,0.06
115.0,China,Hainan,38,Positive only,,50.00%,0%,0%,100%,0%,0%,36.84%,,,,,0%,,,78.95%,,39.47%,5.26%,,,7.89%,,,18.42%,,,,,,,0.05
117.0,China,Yichang,197,Positive only,55.94,50.30%,0%,0%,100%,0%,0%,,,,,1.50%,,4.60%,,77.66%,,45.20%,5.10%,,4.60%,14.70%,,,,,,,,,,0.14
118.0,China,Wuhan,80,Positive only,,42.50%,0%,0%,100%,0%,0%,10%,,,,8.75%,1%,0%,,57.50%,,66.25%,,,15%,45%,,18.75%,8.75%,,,16.25%,,,,0
118.0,China,Wuhan,11,Positive only,,9.09%,0%,0%,100%,0%,0%,0%,,,,27.27%,0%,0%,,18.18%,,81.82%,,,0%,9.09%,,36.36%,18.18%,,,0%,,,,0
118.0,China,Wuhan,69,Positive only,,47.83%,0%,0%,100%,0%,0%,11.59%,,,,5.80%,1%,0%,,63.77%,,63.77%,,,17.39%,50.72%,,15.94%,7.25%,,,18.84%,,,,0
119.0,China,Northeast Region,55,Positive only,46.8,54.50%,0%,0%,100%,0%,0%,,,,,,,,,46.18%,,49.09%,14.55%,,12.73%,14.55%,,10.91%,7.27%,,,,,,,0
119.0,China,Northeast Region,47,Positive only,46.4,51.10%,0%,0%,100%,0%,0%,,,,,,,,,51.06%,,51.06%,10.64%,,10.64%,17.02%,,8.51%,4.26%,,,,,,,0
119.0,China,Northeast Region,8,Positive only,46.12,75%,0%,0%,100%,0%,0%,,,,,,,,,100%,,37.50%,37.50%,,25%,0%,,25%,25%,,,,,,,0
120.0,USA,Washington,24,Positive only,64.0,63%,,,,,,22%,,,4%,0%,,,,50%,83%,88%,88%,,,,,,,,,,,,,0.5
121.0,China,Wuhan,206,Positive only,,44.17%,0%,0%,100%,0%,0%,,,,3.90%,,,8.30%,,67%,,27.50%,14.60%,,21.40%,45.10%,,32.50%,11.70%,15.50%,,,,,,0
121.0,China,Wuhan,48,Positive only,,27.08%,0%,0%,100%,0%,0%,,,,4.20%,,,12.50%,,39.60%,,0%,0%,,12.50%,52.10%,,47.90%,14.60%,31.30%,,,,,,0
121.0,China,Wuhan,89,Positive only,,53.93%,0%,0%,100%,0%,0%,,,,3.40%,,,7.90%,,73%,,29.60%,10.10%,,13.50%,31.50%,,0%,0%,0%,,,,,,0
121.0,China,Wuhan,69,Positive only,,43.48%,0%,0%,100%,0%,0%,,,,4.30%,,,5.80%,,78.30%,,39.10%,30.40%,,37.70%,60%,,63.80%,24.60%,24.60%,,,,,,0
123.0,China,Wuhan,67,Positive only,,61.10%,0%,0%,100%,0%,0%,13.40%,,,4.50%,100%,6%,7.50%,,79.10%,,74.60%,65.70%,,9%,44.80%,,16.40%,14.90%,,,,,,,0.27
123.0,China,Wuhan,35,Positive only,,51.40%,0%,0%,100%,0%,0%,11.40%,,,0%,100%,8.60%,5.70%,,84.40%,,77.10%,57.10%,,14.30%,42.90%,,11.40%,11.40%,,,,,,,0
123.0,China,Wuhan,32,Positive only,,71.90%,0%,0%,100%,0%,0%,15.60%,,,9.40%,100%,3.10%,9.40%,,86.70%,,71.90%,75%,,3.10%,46.90%,,21.90%,18.80%,,,,,,,0.56
123.0,China,Wuhan,49,Positive only,,55.10%,0%,0%,100%,0%,0%,12.20%,,,0%,100%,6.10%,4.10%,,77.60%,,75.50%,61.20%,,10.20%,38.80%,,18.40%,10.20%,,,,,,,0
123.0,China,Wuhan,18,Positive only,,77.80%,0%,0%,100%,0%,0%,16.70%,,,16.70%,100%,5.60%,16.70%,,83.30%,,72.20%,77.80%,,5.60%,55.60%,,11.10%,27.80%,,,,,,,1
124.0,China,Wuhan,12,Positive only,,83.30%,0%,0%,100%,0%,0%,,,,,100%,,,,100%,,25%,25%,,,,,,,,,,,,,0.25
125.0,China,Zhejiang,36,Positive only,8.3,64%,0%,0%,100%,0%,0%,,,,,,,,,36%,,19%,3%,,,,,6%,6%,,,,,,,0
125.0,China,Zhejiang,17,Positive only,7.5,59%,0%,0%,100%,0%,0%,,,,,,,,,24%,,18%,0%,,,,,,,,,,,,,0
125.0,China,Zhejiang,19,Positive only,9.0,69%,0%,0%,100%,0%,0%,,,,,,,,,47%,,21%,5%,,,,,10%,10%,,,,,,,0
125.0,China,Zhejiang,10,Positive only,,60%,0%,0%,100%,0%,0%,,,,,,,,,30%,,10%,,,,,,,,,,,,,,0
125.0,China,Zhejiang,26,Positive only,,65%,0%,0%,100%,0%,0%,,,,,,,,,38%,,23%,,,,,,,,,,,,,,0
126.0,China,Wuhan,62,Positive only,44.7,46.80%,0%,0%,100%,0%,0%,,,,,,,,,62.90%,,59.68%,,,,,,,,,,,,,,0.18
126.0,China,Wuhan,31,Positive only,45.2,48.30%,0%,0%,100%,0%,0%,,,,,,,,,54.84%,,48.39%,,,,,,,,,,,,,,0.29
126.0,China,Wuhan,31,Positive only,44.1,45.20%,0%,0%,100%,0%,0%,,,,,,,,,70.97%,,70.97%,,,,,,,,,,,,,,0.07
131.0,China,Wuhan,339,Positive only,,49%,0%,0%,100%,0%,0%,,,,6.20%,4.40%,0.60%,6.20%,,92%,,53%,40.80%,,4.70%,39.90%,,12.70%,3.80%,27.80%,,,26%,,0%,0.19
131.0,China,Wuhan,274,Positive only,,46.40%,0%,0%,100%,0%,0%,,,,3.70%,4.40%,0.40%,4.00%,,93.40%,,54.60%,36.60%,,5.50%,39.90%,,12.80%,4.40%,28.90%,,,26.70%,,0.00%,0
131.0,China,Wuhan,65,Positive only,,60%,0%,0%,100%,0%,0%,,,,17.20%,4.70%,1.60%,15.60%,,87.50%,,46.90%,59.40%,,1.60%,40.60%,,12.50%,1.60%,23.40%,,,23.40%,,0.00%,1
132.0,China,Wuhan,75,Positive only,,49.30%,0%,0%,100%,0%,0%,,,,0%,,10.90%,,,73.50%,,64.70%,7.40%,,2.90%,42.60%,,7.40%,8.80%,,,,0%,,0%,0.01
136.0,Korea,,1,Positive only,54.0,100%,0%,0%,100%,0%,0%,0%,,,,,,,,0%,0%,100%,0%,,100%,0%,0%,100%,0%,0%,,100%,0%,0%,0%,0
137.0,China,Jiaxing,7,Positive only,39.05,57%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0
137.0,China,Jiaxing,1,Positive only,29.0,100%,0%,0%,100%,0%,0%,,,,,,,,,100%,,100%,,,,0%,,0%,,,,0%,,,0%,0
