ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,"Hypertension,Diabetes", Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,"Chronic kidney/renal disease,Other",Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),"Headache,Sputum (/Expectoration)",Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia, Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
137.0,China,Jiaxing,1,Positive only,51.0,0%,0%,0%,100%,0%,0%,,,,,,,,,0%,,0%,,,,0%,,0%,,,,0%,,,0%,0
137.0,China,Jiaxing,1,Positive only,54.0,100%,0%,0%,100%,0%,0%,,,,,,,,,100%,,100%,,,,0%,,0%,,,,0%,,,0%,0
137.0,China,Jiaxing,1,Positive only,41.0,100%,0%,0%,100%,0%,0%,,,,,,,,,100%,,100%,,,,100%,,0%,,,,100%,,,0%,0
137.0,China,Jiaxing,1,Positive only,0.333333333,0%,0%,0%,100%,0%,0%,,,,,,,,,100%,,0%,,,,0%,,100%,,,,0%,,,0%,0
137.0,China,Jiaxing,1,Positive only,57.0,100%,0%,0%,100%,0%,0%,,,,,,,,,100%,,100%,,,,0%,,0%,,,,0%,,,0%,0
137.0,China,Jiaxing,1,Positive only,41.0,0%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0
138.0,Italy,Loumbardy,1591,Positive only,,82%,100%,0%,0%,0%,0%,,,,4%,8%,3%,,,,,,,,,,,,,,,,,,0%,0.26
138.0,Italy,Loumbardy,4,Positive only,,75%,100%,0%,0%,0%,0%,,,,0%,0%,0%,,,,,,,,,,,,,,,,,,0%,0
138.0,Italy,Loumbardy,56,Positive only,,79%,100%,0%,0%,0%,0%,,,,3%,0%,0%,,,,,,,,,,,,,,,,,,0%,0.07
138.0,Italy,Loumbardy,143,Positive only,,83%,100%,0%,0%,0%,0%,,,,0%,2%,2%,,,,,,,,,,,,,,,,,,0%,0.11
138.0,Italy,Loumbardy,427,Positive only,,83%,100%,0%,0%,0%,0%,,,,3%,4%,3%,,,,,,,,,,,,,,,,,,0%,0.15
138.0,Italy,Loumbardy,598,Positive only,,81%,100%,0%,0%,0%,0%,,,,3%,9%,3%,,,,,,,,,,,,,,,,,,0%,0.29
138.0,Italy,Loumbardy,341,Positive only,,82%,100%,0%,0%,0%,0%,,,,8%,13%,2%,,,,,,,,,,,,,,,,,,0%,0.4
138.0,Italy,Loumbardy,21,Positive only,,90%,100%,0%,0%,0%,0%,,,,6%,19%,0%,,,,,,,,,,,,,,,,,,0%,0.52
138.0,Italy,Loumbardy,1,Positive only,,100%,100%,0%,0%,0%,0%,,,,0%,0%,0%,,,,,,,,,,,,,,,,,,0%,1
139.0,France,Paris,11,Positive only,58.7,63.63%,,,,,,,,,0%,45.45%,0%,0%,,90.09%,,,,,,,,,,,,,,,,0.09
140.0,Germany,Nationwide,73522,Positive only,,52%,,,,,,,,,,,,,,42%,,53%,,,,,,,,,,,,,,0.01
142.0,China,Changsha,161,Positive only,45.0,49.70%,0%,0%,100%,0%,0%,,,,3.70%,,2.50%,2.50%,,75.80%,,62.70%,14.30%,,,39.80%,,10.60%,3.70%,,,,,,0%,0
142.0,China,Changsha,131,Positive only,40.0,50.40%,0%,0%,100%,0%,0%,,,,3.10%,,3.10%,2.30%,,71%,,61.10%,10.70%,,,37.40%,,12.20%,4.60%,,,,,,0%,0
142.0,China,Changsha,30,Positive only,57.0,46.70%,0%,0%,100%,0%,0%,,,,6.70%,,0%,3.30%,,96.70%,,70%,30%,,,30%,,3.30%,0%,,,,,,0%,0
143.0,China,,79,Positive only,60.0,55.70%,,,100%,,,,,,,,,,,70.90%,,70.90%,50.60%,,,,,8.90%,,,,,,,,0
143.0,China,,51,Positive only,59.0,51%,,,100%,,,,,,,,,,,62.70%,,70.60%,47.10%,,,,,5.80%,,,,,,,,0
143.0,China,,28,Positive only,62.5,64.30%,,,100%,,,,,,,,,,,85.50%,,71.40%,57.10%,,,,,14.30%,,,,,,,,0
143.0,China,,50,Positive only,56.0,44.70%,,,100%,,,,,,,,,,,62%,,66%,51.10%,,,,,8.50%,,,,,,,,0
143.0,China,,29,Positive only,62.0,72.40%,,,100%,,,,,,,,,,,86.20%,,75.90%,44.80%,,,,,6.90%,,,,,,,,0
144.0,China,,17,Positive only,41.71,64.70%,,,100%,,,,,,,,,,,64.70%,,47.10%,11.80%,,,17.60%,,,,,,,,,,0
144.0,China,,12,Positive only,41.5,50%,,,100%,,,,,,,,,,,66.70%,,33.30%,16.70%,,,8.30%,,,,,,,,,,0
144.0,China,,5,Positive only,42.2,0%,,,100%,,,,,,,,,,,60%,,80%,0%,,,40%,,,,,,,,,,0
145.0,China,Wuhan,10,Positive,53.4,60%,,,,,,,,,0%,0%,0%,10%,,70%,,70%,80%,,10%,,,20%,20%,,,,20%,,0%,0
145.0,China,Wuhan,1,Positive,46.0,100%,,,,,,,,,0%,0%,0%,0%,,100%,,100%,100%,,0%,,,0%,0%,,,,100%,,0%,0
145.0,China,Wuhan,1,Positive,34.0,0%,,,,,,,,,0%,0%,0%,0%,,0%,,0%,100%,,0%,,,0%,100%,,,,100%,,0%,0
145.0,China,Wuhan,1,Positive,42.0,100%,,,,,,,,,0%,0%,0%,0%,,100%,,100%,100%,,0%,,,100%,0%,,,,0%,,0%,0
145.0,China,Wuhan,1,Positive,55.0,0%,,,,,,,,,0%,0%,0%,0%,,100%,,100%,100%,,0%,,,0%,0%,,,,0%,,0%,0
145.0,China,Wuhan,1,Positive,57.0,100%,,,,,,,,,0%,0%,0%,0%,,100%,,0%,100%,,0%,,,0%,0%,,,,0%,,0%,0
145.0,China,Wuhan,1,Positive,78.0,0%,,,,,,,,,0%,0%,0%,0%,,100%,,100%,100%,,100%,,,0%,0%,,,,0%,,0%,0
145.0,China,Wuhan,1,Positive,56.0,100%,,,,,,,,,0%,0%,0%,0%,,100%,,100%,0%,,0%,,,0%,0%,,,,0%,,0%,0
145.0,China,Wuhan,1,Positive,67.0,100%,,,,,,,,,0%,0%,0%,100%,,100%,,100%,0%,,0%,,,100%,100%,,,,0%,,0%,0
145.0,China,Wuhan,1,Positive,49.0,0%,,,,,,,,,0%,0%,0%,0%,,0%,,100%,100%,,0%,,,0%,0%,,,,0%,,0%,0
145.0,China,Wuhan,1,Positive,50.0,100%,,,,,,,,,0%,0%,0%,0%,,0%,,0%,100%,,0%,,,0%,0%,,,,0%,,0%,0
146.0,China,Shanghai,4,Positive Only,44.0,75%,,,,,,,,,0%,0%,25%,0%,,100%,25%,75%,,,,50%,25%,50%,,,,,,,0%,0
146.0,China,Shanghai,1,Positive Only,32.0,100%,,,,,,,,,0%,0%,100%,0%,,100%,0%,0%,,,,100%,0%,0%,,,,,,,0%,0
146.0,China,Shanghai,1,Positive Only,19.0,100%,,,,,,,,,0%,0%,0%,0%,,100%,0%,100%,,,,100%,100%,100%,,,,,,,0%,0
146.0,China,Shanghai,1,Positive Only,63.0,100%,,,,,,,,,0%,0%,0%,0%,,100%,100%,100%,,,,0%,0%,100%,,,,,,,0%,0
146.0,China,Shanghai,1,Positive Only,63.0,0%,,,,,,,,,0%,0%,0%,0%,,100%,0%,100%,,,,0%,0%,0%,,,,,,,0%,0%%
147.0,South Korea,Incheon,1,Positive only,35.0,100%,0%,0%,100%,0%,0%,,,,0%,0%,0%,0%,,100%,0%,100%,100%,,100%,,,100%,,,,100%,,,0%,0
148.0,South Korea,Goyang,1,Positive only,54.0,100%,0%,0%,100%,0%,0%,0%,,,0%,0%,0%,0%,,100%,0%,100%,0%,,100%,100%,100%,100%,0%,0%,,100%,0%,0%,0%,0
150.0,USA,Washington,1,Positive only,35.0,100%,,,,,,0%,,,0%,0%,0%,0%,,100%,,100%,100%,,,100%,100%,100%,100%,100%,,,,,0%,0
151.0,China,Wuhan,287,Positive only,,56%,0%,0%,100%,0%,0%,,,,6%,3%,4%,8%,,78%,7%,73%,48%,,48%,48%,,,,,,,48%,,0%,0.07
151.0,China,Wuhan,55,Positive only,,69%,0%,0%,100%,0%,0%,,,,11%,5%,2%,16%,,73%,18%,75%,53%,,45%,45%,,,,,,,44%,,0%,0.03
151.0,China,Wuhan,232,Positive only,,53%,0%,0%,100%,0%,0%,,,,4%,2%,4%,8%,,79%,5%,72%,47%,,48%,48%,,,,,,,49%,,0%,0.22
152.0,USA,New York City,1999,Positive only,,62%,46.30%,14.50%,5.90%,,33.30%,26.00%,,,10.30%,7.20%,,,,,,,,,,,,,,,,,,,0%,0.15
152.0,USA,New York City,1999,Positive only,,60.10%,44.10%,17.20%,4.60%,,34.10%,25.50%,,,9.80%,5.80%,,,,,,,,,,,,,,,,,,,0%,0
152.0,USA,New York City,650,Positive only,,68%,48.30%,11.40%,8%,,32.30%,26.60%,,,10.90%,8.60%,,,,,,,,,,,,,,,,,,,0%,0.45
154.0,China,Wuhan,274,Positive only,60.0,55.00%,0%,0%,100%,0%,0%,,,,6.00%,3.00%,4.00%,8.00%,,78%,,73%,47%,,50%,,,,,,,,,,0%,0.08
154.0,China,Wuhan,75,Positive only,67.0,55.00%,0%,0%,100%,0%,0%,,,,9.00%,3.00%,4.00%,15.00%,,76%,,71%,47%,,52%,,,,,,,,,,0%,0.09
154.0,China,Wuhan,199,Positive only,58.0,55.00%,0%,0%,100%,0%,0%,,,,4.00%,3.00%,4.00%,6.00%,,78%,,73%,47%,,48%,,,,,,,,,,0%,0.07
156.0,Europe/North America,Various,53,Positive only,,75%,,,,,,,,,11%,,,,,,,,,,,,,9%,,,,,,,,0.13
156.0,Europe/North America,Various,34,Positive only,,79%,,,,,,,,,15%,,,,,,,,,,,,,3%,,,,,,,,0.18
156.0,Europe/North America,Various,19,Positive only,,68%,,,,,,,,,5%,,,,,,,,,,,,,21%,,,,,,,,0.05
157.0,China,Wuhan ,245,Positive only,52.94333333,46.54%,0%,0%,100%,0%,0%,4.09%,,,3.27%,3.66%,3%,,,80.80%,,57.15%,18.35%,,30.62%,47.73%,,7.36%,4.08%,22.84%,,,,,,0.13
157.0,China,Wuhan ,82,Positive only,44.74,29.27%,0%,0%,100%,0%,0%,1.22%,,,2.44%,2.44%,0%,,,74.39%,,47.56%,9.76%,,29.27%,43.90%,,7.32%,3.66%,17.07%,,,,,,0.02
157.0,China,Wuhan ,81,Positive only,52.68,49.38%,0%,0%,100%,0%,0%,4.94%,,,4.94%,1.23%,3.70%,,,76.54%,,60.49%,12.35%,,33.33%,44.40%,,9.88%,2.47%,18.52%,,,,,,0.06
157.0,China,Wuhan ,82,Positive only,61.41,60.98%,0%,0%,100%,0%,0%,6.10%,,,2.44%,7.32%,4.88%,,,91.46%,,63.41%,32.93%,,29.27%,54.88%,,4.88%,6.10%,32.93%,,,,,,0.32
158.0,China,Jiangsu,50,Positive only,36.02,51.98%,0%,0%,100%,0%,0%,,,,,,,,,100%,,,,,,,,,,,,,,,0%,0
158.0,China,Jiangsu,34,Positive only,40.5,58.80%,0%,0%,100%,0%,0%,,,,,,,,,100%,,,,,,,,,,,,,,,0%,0
158.0,China,Jiangsu,16,Positive only,26.5,37.50%,0%,0%,100%,0%,0%,,,,,,,,,100%,,,,,,,,,,,,,,,0%,0
159.0,China,Xiangyang,119,Positive only,49.0,47%,0%,0%,100%,0%,0%,,,,,,2%,,,86%,,63%,,,,75%,,12%,3%,,,,,,0%,0.03
159.0,China,Xiangyang,99,Positive only,45.0,44%,0%,0%,100%,0%,0%,,,,,,2%,,,86%,,53%,,,,75%,,11%,3%,,,,,,0%,0
159.0,China,Xiangyang,20,Positive only,67.5,60%,0%,0%,100%,0%,0%,,,,,,0%,,,80%,,65%,,,,70%,,15%,5%,,,,,,0%,0.03
160.0,China,Anhui,125,Positive only,38.76,56.80%,0%,0%,100%,0%,0%,12.80%,,,1.60%,0.80%,6.40%,,,92.80%,,81.60%,45.60%,,3.20%,34.40%,,40.00%,19.20%,,,,1.60%,,0%,0
160.0,China,Anhui,25,Positive only,49.4,64%,0%,0%,100%,0%,0%,28%,,,,,,,,,,,,,,,,,,,,,,,0%,0
160.0,China,Anhui,100,Positive only,39.47,55%,0%,0%,100%,0%,0%,9%,,,,,,,,,,,,,,,,,,,,,,,0%,0
160.0,China,Anhui,1,Positive only,69.0,100%,0%,0%,100%,0%,0%,,,,,,,,,100%,100%,,,,,,,,,,,,,,,0
160.0,China,Anhui,1,Positive only,40.0,100%,0%,0%,100%,0%,0%,,,,,,,,,100%,0%,,,,,,,,,,,,,,,0
160.0,China,Anhui,1,Positive only,21.0,0%,0%,0%,100%,0%,0%,,,,0%,0%,0%,0%,,0%,100%,,,,,,,,,,,,,,,0
160.0,China,Anhui,1,Positive only,67.0,100%,0%,0%,100%,0%,0%,,,,,,,,,100%,0%,,,,,,,,,,,,,,,0
161.0,China,Shanghai,274,Positive only,44.0,62%,0%,0%,100%,0%,0%,7%,,,7%,3%,4%,,,91%,32%,68%,44%,,22%,50%,,28%,9%,24%,,,38%,,,0.41
161.0,China,Shanghai,113,Positive only,62.0,73%,0%,0%,100%,0%,0%,8%,,,10%,4%,4%,,,92%,59%,70%,62%,,19%,57%,,24%,7%,27%,,,49%,,,1
161.0,China,Shanghai,161,Positive only,37.0,55%,0%,0%,100%,0%,0%,6%,,,4%,1%,4%,,,90%,14%,66%,31%,,24%,45%,,31%,10%,22%,,,30%,,,0
162.0,China,Zhuhai,95,Positive only,45.3,47.40%,0%,0%,100%,0%,0%,6.30%,,,5.30%,5.30%,,4.20%,,,,,,,,,,20%,15.20%,13.30%,,,,,0%,0
162.0,China,Zhuhai,58,Positive only,48.0,46.60%,0%,0%,100%,0%,0%,8.60%,,,1.70%,6.90%,,5.20%,,,,,,,,,,24.20%,17.90%,17.90%,,,,,0%,0
162.0,China,Zhuhai,37,Positive only,41.1,48.60%,0%,0%,100%,0%,0%,2.70%,,,10.80%,2.70%,,2.70%,,,,,,,,,,,,,,,,,0%,0
169.0,China,Jiangsu,55,Positive only,45.0,49%,0%,0%,100%,0%,0%,,,,,3.60%,,1.80%,,85.50%,,61.80%,20%,,,40%,,32.70%,7.30%,5.50%,,,,,,0
169.0,China,Jiangsu,47,Positive only,40.0,46.80%,0%,0%,100%,0%,0%,,,,,4.30%,,0%,,83%,,55.30%,6.40%,,,36.20%,,29.80%,8.50%,4.30%,,,,,,0
169.0,China,Jiangsu,8,Positive only,59.0,62.50%,0%,0%,100%,0%,0%,,,,,0%,,12.50%,,100.00%,,100.00%,100%,,,62.50%,,50%,0%,12.50%,,,,,,0
170.0,Iceland,Nationwide,1321,Positive only,41.77,50.17%,100%,0%,0%,0%,0%,,,,,,,,,45.49%,,30.65%,,,29.71%,,,,,,,,,,9.58%,0.01
170.0,Iceland,Nationwide,177,Positive only,44.4,52%,100%,0%,0%,0%,0%,,,,,,,,,42.10%,,25.50%,,,28.80%,13.30%,,,,,,,,2.20%,13.60%,0.01
170.0,Iceland,Nationwide,87,Positive only,40.8,52.90%,100%,0%,0%,0%,0%,,,,,,,,,19.50%,,36.80%,,,21.80%,,,,,,,,,,41.40%,0
170.0,Iceland,Nationwide,1044,Positive only,41.3,49.40%,100%,0%,0%,0%,0%,,,,,,,,,48.80%,,31.10%,,,30.80%,20.60%,,,,,,,,11.50%,5.70%,0.01
170.0,Iceland,Nationwide,13,Positive only,50.5,69.20%,100%,0%,0%,0%,0%,,,,,,,,,0%,,23.10%,,,7.70%,,,,,,,,,7.70%,53.80%,0
172.0,China,Changsha,159,Positive only,,62.26%,0%,0%,0%,0%,0%,,,,,5.17%,8.62%,14.66%,,71.19%,,55.08%,7.63%,,3.39%,14.41%,,5.93%,1.69%,,,2.54%,10.17%,,,1
176.0,USA,New York City,393,Positive only,,60.60%,37.40%,12.50%,17%,,45.80%,5.10%,,,5.10%,5.90%,,,,25.50%,9.90%,79.40%,56.50%,,27.20%,,,23.70%,,,,,,,0%,0.1
176.0,USA,New York City,130,Positive only,,70.80%,35.40%,11.50%,19.20%,,33.90%,4.60%,,,5.40%,7.70%,,,,34.60%,21.50%,83.10%,66.20%,,23.80%,,,20.80%,,,,,,,0%,0.15
176.0,USA,New York City,263,Positive only,,55.50%,38.40%,12.90%,16%,,33%,5.30%,,,4.90%,4.90%,,,,21%,4.20%,77.60%,51.70%,,28.90%,,,25.10%,,,,,,,0%,0.08
177.0,China,Nationwide,731,Positive only,,56.60%,0%,0%,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,12.90%,0
183.0,UK,Nationwide,202,Positive only,,48%,,,,,,31.20%,,,,,,,,55.90%,,60.40%,41.10%,,44.60%,68.30%,,43.60%,26.10%,54.50%,,,,64.40%,0%,0
184.0,USA,Washington,48,Positive only,,77.10%,,,,,,,,,,,,,,41.70%,,50%,10.40%,,35.40%,,,6.30%,2.10%,2.10%,,14.60%,,,0%,0
185.0,China,Wuhan,171,Positive only,,60.80%,0%,0%,100%,0%,0%,,,,,,,,,41.50%,,48.50%,,,,8.80%,,8.80%,6.40%,,,,,,15.79%,0.01
186.0,China,Guangzhou,86,Positive only,49.4,46.50%,,,100%,,,,,,,,,,,67.40%,,64.00%,0%,,,,,14%,2.30%,5.80%,,,,,,0
186.0,China,Guangzhou,34,Positive only,50.7,50.00%,,,100%,,,,,,,,,,,79.40%,,61.80%,0%,,,,,27%,0%,14.70%,,,,,,0
186.0,China,Guangzhou,35,Positive only,50.5,45.70%,,,100%,,,,,,,,,,,62.90%,,71.40%,0%,,,,,8.60%,5.90%,0%,,,,,,0
186.0,China,Guangzhou,17,Positive only,44.3,41.20%,,,100%,,,,,,,,,,,52.90%,,52.90%,0%,,,,,0%,0%,0%,,,,,,0
186.0,China,Guangzhou,13,Positive only,60.1,61.50%,,,100%,,,,,,,,7.70%,,,100%,,69.20%,0%,,,,,,,,,,,,,0
191.0,China,Nationwide,21,Positive only,68.0,52%,0%,0%,100%,0%,0%,,,,,14.30%,0.095,,,76.20%,,71.40%,57.10%,,,,,9.50%,,,,,,,0.00%,0.24
191.0,China,Nationwide,5,Positive only,68.0,80%,0%,0%,100%,0%,0%,,,,,20.00%,0.2,,,100.00%,,80.00%,60.00%,,,,,20.00%,,,,,,,0.00%,1
191.0,China,Nationwide,16,Positive only,69.0,44%,0%,0%,100%,0%,0%,,,,,12.50%,0.062,,,68.80%,,68.80%,56.30%,,,,,6.30%,,,,,,,0.00%,0
193.0,China,Shenzhen,420,Positive only,45.9,47.60%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,3.10%,,3.10%,0.50%,,74.80%,,73.10%,15.70%,,13.10%,28.60%,,17.60%,11.00%,,,3.30%,16.00%,,0.00%,0.01
193.0,China,Shenzhen,23,Positive only,25.3,30.40%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,0.00%,,0.00%,0.00%,,47.80%,,56.50%,0.00%,,8.70%,8.70%,,8.70%,4.30%,,,0.00%,4.30%,,0.00%,0
193.0,China,Shenzhen,304,Positive only,43.4,44.10%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,2.60%,,3.30%,0.00%,,71.10%,,70.40%,6.20%,,8.90%,23.40%,,17.40%,10.90%,,,3.00%,11.50%,,0.00%,0
193.0,China,Shenzhen,74,Positive only,58.3,60.80%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,2.70%,,4.10%,1.40%,,94.60%,,87.80%,40.50%,,28.40%,48.60%,,23.00%,13.50%,,,5.40%,35.10%,,0.00%,0
193.0,China,Shenzhen,19,Positive only,62.4,73.70%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,15.80%,,0.00%,5.30%,,89.50%,,78.90%,89.50%,,26.30%,57.90%,,10.50%,10.50%,,,5.30%,26.30%,,0.00%,0.21
197.0,China,Wuhan,223,Positive only,,56.50%,0%,0%,100%,0%,0%,,,,,2.20%,,,,78.90%,,69.10%,,,,56.50%,,6.70%,,,,,,,,0.3
197.0,China,Wuhan,125,Positive only,,48.80%,0%,0%,100%,0%,0%,,,,,0.80%,,,,73.60%,,68.00%,,,,58.40%,,8.00%,,,,,,,,0
197.0,China,Wuhan,98,Positive only,,66.30%,0%,0%,100%,0%,0%,,,,,4.10%,,,,85.70%,,70.40%,,,,54.10%,,5.10%,,,,,,,,0.68
198.0,USA,New York,257,Positive,,66%,12%,19%,4%,62%,3%,13%,,,9%,7%,2%,9%,,71%,,66%,74%,,26%,,7%,12%,,,,,,,0%,0.33
199.0,China,Hubei,237,Positive only,65.0,59%,,,,,,,,,,,,,,36.65%,20.00%,,,,,,,3.00%,4.30%,0.70%,,,,,0%,0.14
199.0,China,Hubei,158,Positive only,66.0,56%,,,,,,,,,,,,,,35.00%,23.00%,,,,,,,3.00%,5.00%,1.00%,,,,,0%,0.15
199.0,China,Hubei,78,Positive only,64.0,65%,,,,,,,,,,,,,,40.00%,14.00%,,,,,,,3.00%,3.00%,0.00%,,,,,0%,0.13
200.0,USA,New York,151,Positive only,55.6,57%,,,,,,21.20%,,,6.60%,2.60%,1.30%,,,73.50%,,76.80%,54.30%,,,,,19.90%,9.30%,,,15.20%,,,,0.15
200.0,USA,New York,618,Positive only,63.0,57.30%,,,,,,22.60%,,,6.80%,7.80%,1.90%,,,72.50%,,72.80%,60.80%,,,,,25.20%,22.30%,,,19.40%,,,,0.13
200.0,USA,New York,231,Positive only,62.2,67.50%,,,,,,24.20%,,,6.10%,6.10%,1.70%,,,73.20%,,71.90%,74%,,,,,20.80%,10%,,,16.50%,,,,0.31
200.0,USA,New York,1000,Positive only,61.7,59.60%,,,,,,22.80%,,,6.60%,6.60%,1.80%,,,72.80%,,73.20%,62.90%,,,,,23.40%,17.50%,,,18.10%,,,,0.17
